Text,Score,Suggestion
قیمت مناسب ولی صدا خیلی زیاد ,60,2
دو سالی مشه که از دیجی کالا خریدم خیلی خوبه قدرتش زیاده صفش ضد خشه صداش هم کم نیست وقتی که تا ته زیاد میکنین مانند بقیه تبلتا یهو زیاد نمیشه اروم اروم زیاد میشه صبور باشید تو جای نم دار شارژ نکنین اصلا از نم دور باشه چون تاچش مشکل پیدا میکنه واسه خودم یه مدت خراب بود ولش حالا که از نم دوره مثل جت کار میکنه مثلا توی اتاق حمام شارژ نکنین باطری عالی داره دوربینش کمی ضعیفه  اگه واسه بازی میخواین عالیه ,100,1
سلام دوستای عزیزم  من دیروز این محصول رو خریداری کردم  واقعاً خوبه  کیفیتش صداش هم خیلی خوبه  حجم صداش هم بستگی به سیستم   تلفن همراه و  کیفیت موزیکتون داره  در کل واقعاً ممنونم دیجی جان  ,80,1
تازه از دیجی کالا خریدم بیشتر از قابلیت متر که تو بقیه مترها مشترکه از قابلیت تراز سنج زاویه ش خوشم اومد واسه من که تو کار عمران و ساختمان هستم خیلی به دردم خورد هم فریم های درب و پنجره هم دیوارها هم سطح رو تراز سنجی میکنه فقط از لحاظ بدنه یخورده ضعیفه چون صفحش هم لمسیه باید یه برچسب موبایل بزنین روش که خطو خش ورنداره ,88,1
اگه هدفون ارزون میخوایید بخرید ,60,2
من 1 سال خریدمش و  از همه چیزش راضی ام حتی من روی سی پیوش که ci3 هستش بازی ci5 ریختم بدون لگ راحت اجرا شد  ,96,1
برای چاپ رنگی کاغذ گلاسه خوبه برای کاغذ معمولی نه سرهم کردنش خوبه ولی باید دفترچه راهنما رو داشته باشی کار با هاش راحته  کابلUSBداخل جعبه نیست باید از بیرون تهیه شه نرم افزار موبایلش از طریق گوگل پلی در دست رس ایران نیست ,60,2
هم ارزش خرید بالایی داره و هم کارایی خوبی  ,88,1
بهترین گزینه برای مصارف نیمه حرفه ای و خانگی  ,96,1
می ارزه واقعا و ابهت خاصی داره البته ساخت اسپانیا است که شاید به محصولات  آلمان نرسه ,88,1
خوبه من چند ماه مدام استفاده میکنم  پلو ساده و استامبولی و همه چی باهاش درست کردم ازش راضی ام  ته دیگشم خوبه  ,60,1
تو هفته اولی که ازش استفاده میکردم یکی از همکارام گفت چقد پوستت خوب شده   آخرای همون هفته اینو از دوستمم شنیدم بهش گفتم از این محصول استفاده میکنم شبش زنگ زد اسمشو بپرسه و یکی واسه خودش بخره ,48,2
کمی سنگین ولی مقاوم بزرگ ولی برای کار های ظریف هم میتوان استفاده کرد  ,76,2
سلام  در ابتدا مثل همیشه ممنون از دیجی تازه به دستم رسیده  خیلی خوبه  بخرید پشیمون نمیشید  ,92,1
با سلام به خواننندگان من این تابه را برای همسرم از دیجی کالا خریدم  ساخت فرانسه است  بنظر می رسد سفارش کشورهای اسیای میانه بوده باشد  کیفیت نچسب داخلی خیلی خوبی دارد  از نظر ظاهری بنظر می رسد کیفیت لایه داخلی بسیار بهتر از بدنه بیرونی باشد مثلا معلوم است که  در استفاده بلند مدت بیرون تابه خش بر  می داردکه از نظر طبیعی در خصوص تابه ها کیفیت داخلی خیلی مهمتر است  از نظر کیفی از بسیاری از تابه هائی که در بازار موجود است  بهتر است  حداقل از یک برند خوب و با سابقه و با کیفیت اصلی خرید کرده اید  در خصوص قیمت  هم به نسبت کالاهای برندهای متفرقه خارجی  قیمت معقولی دارد  ,92,1
این تلویزیون واقعا عالی هست هم از نظر کیفیت هم از نظر صدا و رابط کاربری تیزن اما کنترل بسیار بی کیفیتی داره حتما باید کنترل مجزا تهیه شود ,68,1
رنگ و طرحشزیبا صدا کم و قدرت مکشش عالی ,76,1
درجواب اون دانشجوی عزیزی که گفت هزینه خرید کارتریج زیاده  البته   چون هد های افشان و پمپ هم جزئی از کارتریج هستند  پس عجیب نیست که قیمت سرسام آور باشه  قرار نیست کارتریج عوض شه   بلکه کافیه خودتون کارتریج رو با بطری های جوهر که تو دیجی کالا و بازار به وفور یافت میشه پر کنید کافیه یه ویدو اموزشی از تو وب پیدا کنین  و هیچ نیازی به مراجعه به تعمیر کار نیست سادست  اینجوری با خرید 4 رنگِ بطری جوهر  نه کارتریج   با مبلغی کمتر می توانید تا مدت های زیادی از چاپگر خود لذت ببرید   ضمنا نسبت به این قیمت واقعا چاپگر فوق العاده ایه  حتما توصیه میشه ,84,1
بازی injustice 2 بسیار بهتر از نسخه قبلی هست و حتما پیشنهاد می کنم امتحان کنید با داستان بسیار محیج خود کنسول هم خیلی خوب کار میکنه ولی اگر نزدیک 1 ساعت بازی کنید کمی داغ میکنه تنها مشکل این هست که برای اینکه دو دسته داشته باری نمی توانید با هم دسته ها را با usb شارژ کنید به همین دلیل باید شارژر دو تایی دسته را تهیه کنید که در خود دیجیکالا هم موجود هست  ممنون بابت خواندن نظر  ,100,1
عالیه ,100,1
محصولی کاربردی و خوش فرم البته دوتا قفل در کناره داره که یکیش کمی سفته که ممکن در این یک موردی که من خریدم این ایراد وجود داره  ,80,1
این پرینتر فوق العادس تازه من چند ماه قبل با قیمت کمتر از دیجی کالا گرفتم کمی کارکرد بیسیم مشکل است ولی چیزی از خوبی های این پرینتر کم نمیکند ,92,1
محصول بسیار شیک  زیبا و نسبت یه هزینه و امکاناتش قدرتمندی است  کسانی که قصد خرید این محصول را دارند توجه داشته باشند باید قسمت مانیتور را شارژ نمایند نه صفحه کلید  البته می توانند روی صفحه کلید هم این کار را انجام دهند  اما برای شارز دستگاه از مانیتور اقدام نمایید  نکته بعدی اینکه مانیتور دستگاه را 12 ساعت زیر شارژ اولیه قرار دهید تا سلول های باتری به خوبی پر شوند و در آینده به مشکل عدم کارآمدی باتری بر نخورید  ,92,1
جهت کارهای روزمره مناسب هست ولی دوتا مشکل داره اول اینکه زاویه دید صفحه نمایش خیلی بد هست به نحوی که باید حتمآ از روبرو به اون نگاه کنی وگرنه رنگ و کنتراست رو خوب نشون نمیده  دوم اینکه فقط دوتا پورت یو اس بی داره و اونم سمت چپ ,72,2
جاروی بسیار خوبی هست و گردو خاک از از عمق فرش بیرون میکشه و پس از استفاده واقعا رنگ و روی فرش باز میشه و معلوم میشه که جارو شده  نکته ای دوستان باید در مورد جارو های بدون پاکت الجی رعایت کنن که باعث از کار افتادن و کاهش قدرت و داغ کردن دستگاه نشه  بهتره پس از هر 3 یا 4 بار استفاده فیلتر های دستگاه تمیز کنن و البته بستگی به شرایط آب و هوایی منطقه و شدت گرد و غبار منطقه ای که زندگی میکنن داره که چقدر فیلترها کثیف بشن   فیلتر ها رو نشویید  هر چند در دفترچه دستگاه اشاره شده این کار باعث کاهش مکش و فشار به موتور و در نتیجه نارضایتی شما و پشیمونی از خردید میشه   فقط کافیه با چند ضربه  به یک سطح خاک جمع شده در فیلتر رو پاک کنید   فقط در فضای آزاد این کارو بکنید  ,88,1
سیم مثبت ومنفی نداره به سوکت فابریک 206میزنی سیمها برعکس میکنی جواب میده ,72,1
پایش در مقایسه با سایر تلوزیونها اونقدر هم ضعیف نیست ,68,3
حدودا 3 ماه میشه که تهیه کردم این لپ تاپ رو و در این مدت راضی بودم  البته قیمت پایین تر بود  ,72,1
تو پیشنهاد شگفت انگیز ارزش خرید داره ,100,1
